Name	Start	Duration	Time Format	Type	Description
ENDLESS	1:24:22	0:00:00	decimal	Cue	
https://estat.sci.kagoshima-u.ac.jp/sports/	1:21:42	0:00:00	decimal	Cue	
データの媒体	1:20:7	0:00:00	decimal	Cue	
トラッキングデータ	0:53:25	0:00:00	decimal	Cue	
https://www.datastadium.co.jp/news/release/6606	0:45:37	0:00:00	decimal	Cue	
?	0:31:52	0:00:00	decimal	Cue	
CUT	0:31:41	0:00:00	decimal	Cue	
https://www.jstage.jst.go.jp/article/bplus/10/1/10_29/_pdf	0:24:36	0:00:00	decimal	Cue	
イベントデータ	0:18:13	0:00:00	decimal	Cue	
試合結果表	0:18:2	0:00:00	decimal	Cue	
分類	0:12:41	0:00:00	decimal	Cue	
https://www.football-lab.jp/uraw/	0:9:52	0:00:00	decimal	Cue	
サッカーデータ	0:7:46	0:00:00	decimal	Cue	
スプリント回数	0:3:31	0:00:00	decimal	Cue	
サッカーデータ	0:2:28	0:00:00	decimal	Cue	
